procedure_name,speciality_name,speciality_id,work_scale_name,work_scale_id
TELECONSULTA EM NUTRICAO PEDIATRICA,Nutricionista,17,Nutricionista,-OK2-Z9tHG3V5qFo-m2N
TELECONSULTA EM NUTRICAO PEDIATRICA – RETORNO,Nutricionista,17,Nutricionista,-OK2-Z9tHG3V5qFo-m2N
TELECONSULTA EM ORTOPEDIA GERAL,Ortopedia,19,Ortopedia,-OK2-kJPFTkhTXKrgyNG
TELECONSULTA EM ORTOPEDIA GERAL - RETORNO,Ortopedia,19,Ortopedia,-OK2-kJPFTkhTXKrgyNG
TELECONSULTA EM ORTOPEDIA PEDIATRICA,Ortopedia,19,Ortopedia,-OK2-kJPFTkhTXKrgyNG
TELECONSULTA EM ORTOPEDIA PEDIATRICA - RETORNO,Ortopedia,19,Ortopedia,-OK2-kJPFTkhTXKrgyNG
TELECONSULTA EM PEDIATRIA,Pediatria,21,Pediatria,-OK2-UjdGPK2_y5g4yXa
TELECONSULTA EM PEDIATRIA - RETORNO,Pediatria,21,Pediatria,-OK2-UjdGPK2_y5g4yXa
TELECONSULTA EM PSICOLOGIA GERAL,Psicologia,7,Psicologia,-OK2-4IHLKmEkOKLjuzc
TELECONSULTA EM PSICOLOGIA GERAL – RETORNO,Psicologia,7,Psicologia,-OK2-4IHLKmEkOKLjuzc
TELECONSULTA EM PSICOLOGIA PEDIATRICA,Psicologia,7,Psicologia,-OK2-4IHLKmEkOKLjuzc
TELECONSULTA EM PSICOLOGIA PEDIATRICA – RETORNO,Psicologia,7,Psicologia,-OK2-4IHLKmEkOKLjuzc
TELECONSULTA EM PSIQUIATRIA GERAL,Psiquiatria,8,Psiquiatria,-OK1zvNbu40ZLooUKkaq
TELECONSULTA EM PSIQUIATRIA GERAL - RETORNO,Psiquiatria,8,Psiquiatria,-OK1zvNbu40ZLooUKkaq
TELECONSULTA EM PSIQUIATRIA PEDIATRICA,Psiquiatria Infantil,22,Psiquiatria Infantil,-OLkLziS2lOlGfdEifBO
TELECONSULTA EM PSIQUIATRIA PEDIATRICA - RETORNO,Psiquiatria Infantil,22,Psiquiatria Infantil,-OLkLziS2lOlGfdEifBO
TELECONSULTA EM UROLOGIA GERAL,Urologia,25,Urologia,-OK2-bqY9RQPkAZ1gq6D
TELECONSULTA EM UROLOGIA GERAL - RETORNO,Urologia,25,Urologia,-OK2-bqY9RQPkAZ1gq6D
TELECONSULTA EM UROLOGIA PEDIATRICA,Urologia,25,Urologia,-OK2-bqY9RQPkAZ1gq6D
TELECONSULTA EM UROLOGIA PEDIATRICA - RETORNO,Urologia,25,Urologia,-OK2-bqY9RQPkAZ1gq6D
